IRS-Number,Spray Date,SOP Code,County,Sub-county,Ward,Sub-location,Village,Sprayed,Re-visit,Reason for No Spray,Not sprayed: Female Children < 5 years,Not sprayed: Male Children < 5 years,Sprayed: Female Children < 5 years,Sprayed: Male Children < 5 years,Institution Name,Female Children <5 years sleeping under nets,Male Children <5 years sleeping under nets,Nets owned,Not sprayed: Female,Not sprayed: Male,Not sprayed: Pregnant women,Number Mixed,Pregnant women sleeping under nets,Rooms found,Rooms sprayed,Number Sleeping under nets,Sprayed: Female,Sprayed: Male,Sprayed: Pregnant women,Nets in use (Details),Children <5 years sleeping under nets
316564,04/12/2023,2071419,Homa Bay County,Rangwe Sub-County,Kagan Ward,Kokoko Sub-location,Kabuya Village (Kokoko Sub-location),1,,,0,0,0,1,,,,2,,,,0,0,2,2,4,2,2,0,2,1
225445,04/12/2023,2041076,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kasewe A Sub-location,Kitare B Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,2,0,0,1,1
369816,04/12/2023,2030919,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kobita  Sub-location,Miyoro Village,1,,,0,0,0,0,,,,2,,,,0,0,2,2,4,3,1,0,2,0
43664,03/06/2023,1030524,Migory County,Nyatike Sub-County,Macalder Kanyarwanda Ward,Mikei Sub-location,Ogongo 1 Village,1,,,,,0,0,,,,1,,,,0,0,3,3,2,2,1,0,1,0
66157,03/06/2023,1050663,Migory County,Suna East Sub-County,Kakrao Ward,Lower Kakrao Sub-location,Tingna B Village,1,,,,,0,1,,,,0,,,,0,,5,5,,2,4,0,0,
43474,03/06/2023,1030507,Migory County,Nyatike Sub-County,Macalder Kanyarwanda Ward,Mikei Sub-location,Ogongo 2 Village,0,,1. Sick,1,2,,,,,,2,3,4,0,0,0,3,,3,,,,2,2
130154,03/06/2023,1070834,Migory County,Uriri Sub-County,South Kanyamkago Ward,Bware Sub-location,Kisungwanua B Village,1,,,,,0,0,,,,1,,,,0,1,3,1,2,2,4,1,1,0
222270,04/12/2023,2041060,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kilusi Sub-location,God Miaha A Village,1,,,0,0,0,1,,,,2,,,,0,1,3,2,4,2,2,1,2,1
242056,4/18/2023,2051206,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Katonde Sub-location,Kopiyo A Village (Katonde Sub-location),1,,,0,0,0,1,,,,1,,,,1,0,3,3,1,0,1,0,1,0
370292,04/12/2023,2030944,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kobita  Sub-location,Ywari Village,1,,,0,0,0,0,,,,0,,,,0,,3,3,,1,2,0,0,
113835,3/17/2023,1070989,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Central Kawere Rateng' Sub-location,Nyakruru Village (Central Kawere Rateng' Sub-location),1,,,,,0,0,,,,2,,,,0,0,3,3,5,1,4,0,2,0
243486,04/12/2023,2051218,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kowili Sub-location (Rachuonyo North Ward),Kamolo B & Kawiti Village,1,,,0,0,3,0,,,,1,,,,1,0,3,3,5,3,2,0,1,0
234336,04/12/2023,2041031,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Kodhoch East Sub-location,Kasala B Village,1,,,0,0,0,0,,,,0,,,,0,,4,4,,0,2,0,0,
372393,04/12/2023,2030785,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Konyango East Sub-location,Aluor Village (Konyango East Sub-location),1,,,0,0,0,0,,,,3,,,,0,0,3,2,6,4,2,0,3,0
216660,04/12/2023,2041001,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Dudi B Sub-location,Matabore B Village,1,,,0,0,0,0,,,,1,,,,0,0,1,1,1,0,1,0,1,0
269359,4/18/2023,2051130,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya west Sub-location,Kabonyo Upper Village (Kobuya West Sub-location),1,,,0,0,0,1,,,,1,,,,0,0,3,3,3,1,2,0,1,1
244717,4/18/2023,2051220,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Gotkomolo A  B Village,1,,,0,0,0,0,,,,1,,,,1,0,2,2,3,2,1,0,1,0
23866,3/17/2023,1020401,Migory County,Awendo Sub-County,West Sakwa Ward,Kamresi Sub-location,Kabongo Village (Kamresi Sub-location),1,,,,,0,0,,,,1,,,,1,0,3,3,2,1,1,0,1,0
160866,04/12/2023,2021606,Homa Bay County,Homabay Township Sub-County,Homabay East Ward,Komolo Sub-location,Dissi Village,1,,,0,0,1,0,,,,2,,,,0,1,3,3,4,2,2,1,2,1
274439,04/12/2023,2051165,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Rabuor Sub-location,Upper Kamwania Village,1,,,0,0,0,0,,,,0,,,,0,,3,3,,1,1,0,0,
298146,04/12/2023,2061328,Homa Bay County,Rachuonyo South Sub-County,South Kasipul Ward,Kotieno Konuonga Sub-location,Nyimbi Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,1,1,0,0,1,0
222206,04/12/2023,2041087,Homa Bay County,Rachuonyo East Sub-County,Kojwach Ward,Kamuga (Kojwach Ward) Sub-location,Pundo Village (Kamuga Sub-location),1,,,0,0,0,1,,,,2,,,,0,0,3,2,4,2,2,0,2,1
172635,04/12/2023,2101573,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Soklo North Sub-location,Siaga Village,1,,,0,0,1,1,,,,1,,,,0,0,2,2,2,1,1,0,1,2
279163,04/12/2023,2061281,Homa Bay County,Rachuonyo South Sub-County,Central Kasipul Ward,Nyalenda West Sub-location,Kabok A Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,0,2,0,1,0
74850,03/06/2023,1050625,Migory County,Suna East Sub-County,Kwa Ward,Ogwedhi Sub-location,Ogwedhi C Village,1,,,,,0,0,,,,1,,,,0,0,2,2,2,3,0,0,1,1
63958,3/17/2023,1050701,Migory County,Suna East Sub-County,God Jope Ward,Manyatta Sub-location,Warao B Village,1,,,,,0,0,,,,1,,,,1,1,2,2,2,1,2,1,1,0
20988,03/06/2023,1020407,Migory County,Awendo Sub-County,West Sakwa Ward,North Kanyamgony Sub-location,Kijawa Village,1,,,,,1,0,,,,1,,,,1,0,4,4,3,2,1,0,1,1
24018,3/17/2023,1020412,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kalando Village,1,,,,,0,0,,,,3,,,,0,0,2,2,5,2,3,0,3,0
316556,04/12/2023,2071417,Homa Bay County,Rangwe Sub-County,Kagan Ward,Kokoko Sub-location,Kabuya Village (Kokoko Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,1,1,2,2,0,0,1,0
26756,03/06/2023,1030568,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Kambi 1 Village,1,,,,,1,1,,,,3,,,,0,1,2,2,4,2,3,1,3,2
196124,04/12/2023,2030911,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Unga Sub-location,Otigo Village,1,,,0,0,1,3,,,,1,,,,0,0,3,3,2,2,4,0,1,1
275331,4/18/2023,2051165,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Rabuor Sub-location,Kakelo Village (Rabuor Sub-location),1,,,0,0,2,1,,,,0,,,,0,,3,3,,3,2,0,0,
114010,3/17/2023,1070999,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Nyaobe Sub-location,Kamakanga 1 Village,1,,,,,0,0,,,,0,,,,0,,1,1,,0,1,0,0,
265656,4/18/2023,2051263,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koyumbre Sub-location,Mikuya Village,1,,,0,0,1,0,,,,2,,,,1,0,3,3,4,3,1,0,2,1
134287,3/17/2023,1070869,Migory County,Uriri Sub-County,South Kanyamkago Ward,Kamsaki Sub-location,Kamsaki A Village,1,,,,,0,1,,,,1,,,,1,0,3,3,3,1,2,0,1,1
121885,03/06/2023,1070958,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Lower Sub-location,Nyaroya Village (Katieno 2 Lower Sub-location),1,,,,,0,0,,,,0,,,,0,,1,1,,2,2,0,0,
196188,04/12/2023,2030916,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,East Kachieng Sub-location,Maranga Village,1,,,0,0,0,2,,,,2,,,,0,0,4,2,4,2,4,0,2,2
254690,4/18/2023,2051183,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kamser A Sub-location,Osika B Village,1,,,0,0,0,0,,,,1,,,,1,0,2,2,2,0,3,0,1,0
121909,03/06/2023,1070957,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Lower Sub-location,Nyaroya Village (Katieno 2 Lower Sub-location),1,,,,,1,0,,,,1,,,,0,0,5,4,3,1,0,0,1,2
164153,04/12/2023,2020690,Homa Bay County,Homabay Township Sub-County,Arujo Ward,Arujo Sub-location,Ruga South Village,1,,,0,0,0,0,,,,0,,,,0,,3,3,,0,1,0,0,
63795,3/17/2023,1050699,Migory County,Suna East Sub-County,God Jope Ward,Osingo North Sub-location,Alara Village (Osingo North Sub-location),1,,,,,1,0,,,,0,,,,1,,6,5,,7,1,0,0,
298027,04/12/2023,2061311,Homa Bay County,Rachuonyo South Sub-County,South Kasipul Ward,Kawino Sub-location,Bilo Village,1,,,0,0,0,0,,,,1,,,,0,0,1,1,1,2,1,0,1,0
14218,03/06/2023,1020373,Migory County,Awendo Sub-County,South Sakwa Ward,Alego East Sub-location,Olande Village (Alego East Sub-location),1,,,,,0,0,,,,2,,,,1,1,3,3,2,2,2,1,2,0
279396,04/12/2023,2061286,Homa Bay County,Rachuonyo South Sub-County,Central Kasipul Ward,Nyalenda West Sub-location,Kabok A Village,1,,,0,0,1,0,,,,1,,,,0,0,2,2,5,2,3,0,1,1
382457,04/12/2023,2030799,Homa Bay County,Ndhiwa Sub-County,Kologi Ward,Kachola Sub-location,Kochieng Village (Kachola Sub-location),1,,,0,0,0,1,,,,2,,,,0,1,2,2,5,1,4,1,2,2
5256,03/06/2023,1020293,Migory County,Awendo Sub-County,Central Sakwa Ward,Kanyagwala Sub-location,Anding'o Village (Kanyagwala Sub-location),1,,,,,1,1,,,,1,,,,0,0,2,2,4,2,2,0,1,0
142504,3/17/2023,1070915,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Lower Sub-location,Ongenga Village,1,,,,,0,1,,,,1,,,,1,0,4,4,3,3,5,0,1,1
254599,4/18/2023,2051167,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kamser A Sub-location,Alego A Village,1,,,0,0,0,0,,,,0,,,,1,,2,2,,0,1,0,0,
188216,04/12/2023,2030750,Homa Bay County,Ndhiwa Sub-County,Kwabwai Ward,Rachar Sub-location,Munga Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,2,1,1,0,1,0
161039,04/12/2023,2020731,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Asego Sub-location,Kasaoke Village,1,,,0,0,0,2,,,,2,,,,0,0,2,2,5,1,4,0,2,2
23991,3/17/2023,1020413,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kombasa Kawuor Village,1,,,,,0,0,,,,2,,,,0,0,3,3,4,2,2,0,2,0
221356,04/12/2023,2041085,Homa Bay County,Rachuonyo East Sub-County,Kojwach Ward,Kamuga (Kojwach Ward) Sub-location,Pundo Village (Kamuga Sub-location),1,,,0,0,1,0,,,,3,,,,0,1,3,2,5,3,2,1,3,1
81502,03/06/2023,1050592,Migory County,Suna East Sub-County,Suna Central Ward,Mapera Sub-location,Mapera Koken'go Village,1,,,,,0,0,,,,1,,,,0,1,2,2,2,1,1,1,1,0
113737,3/17/2023,1070981,Migory County,Uriri Sub-County,Central Kanyamkago Ward,West Kawere Rateng' Sub-location,Nyamanja Village (West Kawere Rateng' Sub-location),1,,,,,0,0,,,,1,,,,0,0,2,2,1,1,0,0,1,0
121470,03/06/2023,1070918,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 1 Sub-location,Nyagwethe Village (Katieno 1 Sub-location),1,,,,,1,0,,,,2,,,,0,0,1,1,5,3,2,0,2,1
248718,04/12/2023,2051107,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kowuor East Sub-location,Dago Village (Kowuor East Sub-location),1,,,0,0,0,0,,,,1,,,,1,0,3,3,2,1,1,0,1,0
74798,03/06/2023,1050623,Migory County,Suna East Sub-County,Kwa Ward,Ogwedhi Sub-location,Ogwedhi C Village,1,,,,,0,0,,,,1,,,,0,0,1,1,2,1,1,0,1,0
10705,3/17/2023,1021009,Migory County,Awendo Sub-County,North Sakwa Ward,Kwoyo Kodalo  Sub-location,Kauma Village (Kwoyo Kodalo Sub-location),1,,,,,0,0,,,,2,,,,1,0,2,2,3,3,1,0,2,0
308762,4/18/2023,2071531,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Town C Village,1,,,0,0,0,0,,,,3,,,,0,0,2,2,5,5,0,0,3,0
298133,04/12/2023,2061324,Homa Bay County,Rachuonyo South Sub-County,South Kasipul Ward,Kotieno Konuonga Sub-location,Nyimbi Village,1,,,0,0,0,0,,,,1,,,,0,0,1,1,1,0,1,0,1,0
320122,04/12/2023,2071454,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Nyangweso Village (Kamenya Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,3,3,0,2,0,0,1,0
10612,3/17/2023,1020331,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Kimaye Village (East Kakmasia),1,,,,,0,0,,,,1,,,,0,1,2,2,2,1,1,1,1,0
313913,04/12/2023,2071512,Homa Bay County,Rangwe Sub-County,East Gem Ward,Kotieno Sub-location,Atili Village,1,,,0,0,1,0,,,,1,,,,0,0,3,3,3,2,1,0,1,1
372341,04/12/2023,2030787,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Konyango East Sub-location,Aluor Village (Konyango East Sub-location),1,,,0,0,0,0,,,,2,,,,0,0,2,2,2,1,1,0,2,0
111276,03/06/2023,1070986,Migory County,Uriri Sub-County,Central Kanyamkago Ward,West Kawere Rateng' Sub-location,Lwanda Konyuna Village,1,,,,,1,1,,,,1,,,,0,0,3,3,3,4,3,0,1,2
70810,3/17/2023,1050692,Migory County,Suna East Sub-County,Kakrao Ward,Nyarongi Sub-location,Nyarongi C Village (Nyarongi Sub-location),1,,,,,0,1,,,,2,,,,0,1,3,3,7,3,4,1,2,1
117086,03/06/2023,1070968,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Manyatta Village,1,,,,,0,0,,,,2,,,,0,1,3,2,5,3,2,1,2,0
74804,03/06/2023,1050626,Migory County,Suna East Sub-County,Kwa Ward,Ogwedhi Sub-location,Ogwedhi C Village,1,,,,,0,2,,,,0,,,,0,,3,1,,4,7,1,0,
308191,4/18/2023,2071524,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Town C Village,1,,,0,0,1,1,,,,2,,,,0,0,2,1,5,2,3,0,2,2
269330,4/18/2023,2051136,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya west Sub-location,Kabonyo/Kachieng Village,1,,,0,0,0,0,,,,3,,,,0,1,3,3,5,2,3,1,3,0
324418,4/18/2023,2071454,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Nyangweso Village (Kamenya Sub-location),1,,,0,0,0,0,,,,2,,,,1,0,4,4,2,1,1,0,2,0
101659,3/17/2023,1060768,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamange sub location,Magoto B Village (Nyamange sub location),1,,,,,1,0,,,,2,,,,0,1,3,2,4,2,2,1,2,1
17793,3/17/2023,1020383,Migory County,Awendo Sub-County,South Sakwa Ward,West Waundha Sub-location,Mariwa A Village (West Waundha  Sub-location),1,,,,,0,0,,,,1,,,,0,0,2,2,1,0,1,0,1,0
66034,03/06/2023,1050657,Migory County,Suna East Sub-County,Kakrao Ward,Anjego Sub-location,Mwache C Village,1,,,,,1,0,,,,0,,,,1,,4,3,,9,0,0,0,
160916,04/12/2023,2020665,Homa Bay County,Homabay Township Sub-County,Homabay East Ward,Komolo Sub-location,Dissi Village,1,,,0,0,0,1,,,,0,,,,1,,5,5,,2,1,0,0,
372335,04/12/2023,2030787,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Konyango East Sub-location,Aluor Village (Konyango East Sub-location),1,,,0,0,1,1,,,,3,,,,0,0,3,3,3,1,1,0,3,3
52624,03/06/2023,1030425,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Konyango Village (Kakelo Kakoth Sub-location),1,,,,,0,1,,,,2,,,,0,0,1,1,3,1,2,0,2,1
94109,03/06/2023,1060788,Migory County,Suna West Sub-County,Wasimbete Ward,Giribe Sub-location,Boya Village (Giribe Sub-location),1,,,,,0,0,,,,2,,,,0,0,2,1,2,1,1,0,2,0
243456,04/12/2023,2051215,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kowili Sub-location (Rachuonyo North Ward),Kodede/Kamolo A Village,1,,,0,0,0,2,,,,2,,,,0,0,2,2,5,2,3,0,2,2
64082,3/17/2023,1050712,Migory County,Suna East Sub-County,God Jope Ward,Osingo South Sub-location,Anganga Village,1,,,,,0,0,,,,0,,,,0,,2,2,,2,0,0,0,
289692,04/12/2023,2061414,Homa Bay County,Rachuonyo South Sub-County,East Kamagak Ward,Obisa Sub-location,Kochieng Obisa Village,1,,,0,0,1,1,,,,2,,,,0,1,3,3,5,2,3,0,2,2
130393,03/06/2023,1070856,Migory County,Uriri Sub-County,South Kanyamkago Ward,Got Uriri Sub-location,Kolwal Village,1,,,,,0,0,,,,1,,,,0,0,3,3,1,1,0,0,1,0
117013,03/06/2023,1070962,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Ahenyo Village,1,,,,,0,0,,,,0,,,,1,,2,2,,2,2,0,0,
41420,03/06/2023,1030474,Migory County,Nyatike Sub-County,Kanyasa Ward,Wang'aya Sub-location,Nyodieny A Village (Wang'aya Sub-location),1,,,,,1,0,,,,2,,,,0,0,3,2,4,2,2,0,2,1
5171,03/06/2023,1020298,Migory County,Awendo Sub-County,Central Sakwa Ward,Kombok North  Sub-location,Kokore Village,1,,,,,0,0,,,,2,,,,1,0,2,2,7,4,3,0,2,0
172709,04/12/2023,2101576,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Soklo North Sub-location,Siaga Village,1,,,0,0,1,0,,,,2,,,,0,0,4,4,3,2,1,0,2,1
65776,03/06/2023,1050668,Migory County,Suna East Sub-County,Kakrao Ward,Upper Kakrao Sub-location,Ugari Village,1,,,,,0,0,,,,2,,,,0,0,4,3,4,0,3,0,2,0
116999,03/06/2023,1070959,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Ahenyo Village,0,,4. Refused,0,1,,,,,,2,3,3,0,0,0,3,,6,,,,2,1
221367,04/12/2023,2041078,Homa Bay County,Rachuonyo East Sub-County,Kojwach Ward,Kamuga (Kojwach Ward) Sub-location,Pundo Village (Kamuga Sub-location),1,,,0,0,0,1,,,,1,,,,1,0,2,2,3,1,2,0,1,0
119746,3/17/2023,1070961,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Arambe A Village,1,,,,,0,1,,,,2,,,,0,0,2,2,4,2,2,0,2,1
130264,03/06/2023,1070843,Migory County,Uriri Sub-County,South Kanyamkago Ward,Bware Sub-location,Kisungwanua B Village,0,,2. Locked,0,0,,,,,,1,2,3,0,0,0,3,,2,,,,1,0
260509,04/12/2023,2051238,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Wagwe North Sub-location,Chiema Village,1,,,0,0,1,0,,,,1,,,,0,0,2,2,6,5,1,0,1,1
20901,03/06/2023,1020402,Migory County,Awendo Sub-County,West Sakwa Ward,Kamresi Sub-location,Kodeny Village A (Kamresi Sub-location),1,,,,,2,2,,,,0,,,,0,,4,4,,4,5,0,0,
49701,03/06/2023,1030560,Migory County,Nyatike Sub-County,Muhuru Ward,Ibencho Sub-location,Ibencho B Village,1,,,,,0,0,,,,0,,,,1,,3,3,,2,4,0,0,
66105,03/06/2023,1050691,Migory County,Suna East Sub-County,Kakrao Ward,Anjego Sub-location,Mwache Village,1,,,,,0,1,,,,1,,,,0,1,3,3,3,2,1,1,1,1
65815,03/06/2023,1050687,Migory County,Suna East Sub-County,Kakrao Ward,Nyarongi Sub-location,Filgona C Village,1,,,,,1,1,,,,3,,,,1,0,3,3,7,3,4,0,3,2
314256,4/18/2023,2071511,Homa Bay County,Rangwe Sub-County,East Gem Ward,Kotieno Sub-location,Kakech Village,1,,,0,0,0,1,,,,1,,,,0,1,3,2,3,1,2,1,1,1
6530,03/06/2023,1020349,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Obuya Village (Kakmasia Sub-location),1,,,,,1,0,,,,3,,,,0,1,2,2,7,5,3,1,3,1
78669,3/17/2023,1050638,Migory County,Suna East Sub-County,Kwa Ward,Onguo Sub-location,Mitangwe Village,1,,,,,0,0,,,,0,,,,1,,2,2,,1,1,0,0,
267864,4/18/2023,2051119,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya east Sub-location,Kalal Lower Village,1,,,0,0,0,1,,,,1,,,,0,0,5,5,3,1,2,0,1,1
248750,04/12/2023,2051105,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kowuor East Sub-location,Mboto Village,1,,,0,0,0,0,,,,0,,,,0,,2,2,,4,4,0,0,
147422,04/12/2023,2020631,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Magare Samunyi Village,1,,,0,0,0,1,,,,2,,,,0,0,2,2,4,1,3,0,2,1
244738,4/18/2023,2051225,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Kobala Village (Kodero Sub-location),1,,,0,0,0,0,,,,2,,,,0,0,2,2,2,3,1,0,2,0
244763,4/18/2023,2051227,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Gotkomolo A  B Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,0,2,0,1,0
52923,03/06/2023,1030449,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Nyora A Village,1,,,,,0,0,,,,0,,,,1,,3,3,,3,0,0,0,
50728,03/06/2023,1030553,Migory County,Nyatike Sub-County,Muhuru Ward,Ibencho Sub-location,Bamgot B Village,1,,,,,0,0,,,,2,,,,0,1,2,2,4,4,0,1,2,0
26759,03/06/2023,1030568,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Kambi 1 Village,1,,,,,1,0,,,,1,,,,0,0,2,2,3,1,2,0,1,1
24005,3/17/2023,1020410,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kombasa Kawuor Village,1,,,,,1,1,,,,2,,,,0,0,2,2,4,2,2,0,2,2
253515,04/12/2023,2051171,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kodondi Sub-location,Kwaro A Village,1,,,0,0,1,1,,,,2,,,,1,0,3,3,5,2,4,0,2,2
306133,04/12/2023,2061345,Homa Bay County,Rachuonyo South Sub-County,West Kasipul Ward,Kamiyawa B Sub-location,Kalanding A Village,1,,,0,0,0,0,,,,2,,,,0,0,2,2,2,1,1,0,2,0
922,3/17/2023,1020313,Migory County,Awendo Sub-County,Central Sakwa Ward,Kombok North  Sub-location,Awendo Marindi Village,0,,5. Missed spray appointment,0,1,,,,,,2,4,4,0,0,0,3,,8,,,,2,0
316565,04/12/2023,2071419,Homa Bay County,Rangwe Sub-County,Kagan Ward,Kokoko Sub-location,Kabuya Village (Kokoko Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,2,2,1,1,0,0,1,0
225474,04/12/2023,2041075,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kasewe A Sub-location,Kitare B Village,1,,,0,0,0,0,,,,0,,,,0,,4,3,,0,4,0,0,
61581,03/06/2023,1050713,Migory County,Suna East Sub-County,God Jope Ward,Wasio Sub-location,Andingo A Village (Wasio Sub-location),1,,,,,0,0,,,,2,,,,0,0,7,7,2,2,2,0,2,0
14004,03/06/2023,1020358,Migory County,Awendo Sub-County,South Sakwa Ward,Waware North Sub-location,Wanyama 1 Village,1,,,,,0,0,,,,0,,,,1,,3,3,,3,4,0,0,
243575,04/12/2023,2051225,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kawadggone Sub-location,Adhiambo Village,1,,,0,0,0,1,,,,4,,,,1,0,5,5,8,2,3,0,4,1
310855,04/12/2023,2071500,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Nyandoto Village (Koyolo Sub-location),1,,,0,0,0,0,,,,0,,,,0,,2,2,,3,1,0,0,
147798,04/12/2023,2020719,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Kalanya Kanyango Sub-location,Kuja B Village,1,,,0,0,1,0,,,,4,,,,1,0,6,6,7,2,5,0,4,1
266385,04/12/2023,2051274,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koredo Sub-location,Miriango Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,1,2,0,1,0
154605,04/12/2023,2020694,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Kalanya Kanyango Sub-location,Muche D Village,1,,,0,0,0,0,,,,0,,,,0,,5,5,,4,0,0,0,
52782,03/06/2023,1030437,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Manywanda Village (Kakelo Kakoth Sub-location),1,,,,,0,0,,,,1,,,,0,0,1,1,2,2,1,0,1,0
259684,4/18/2023,2051267,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koredo Sub-location,Nyanyongo A Village,1,,,0,0,0,0,,,,2,,,,0,0,4,2,2,1,1,0,2,0
387580,04/12/2023,2030810,Homa Bay County,Ndhiwa Sub-County,Kologi Ward,Kachola Sub-location,Kochola Village (Kachola Sub-location),1,,,0,0,0,2,,,,3,,,,0,0,5,5,8,2,6,0,3,2
78551,3/17/2023,1050647,Migory County,Suna East Sub-County,Kwa Ward,Kwa Sub-location,Rabuor Taya Village (Kwa Sub-location),1,,,,,0,0,,,,1,,,,0,0,3,3,1,1,0,0,1,0
308467,04/12/2023,2071526,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Achego Village (Koyolo Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,3,2,2,1,3,0,1,0
265612,4/18/2023,2051261,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koyumbre Sub-location,Mikiria Village,1,,,0,0,0,1,,,,2,,,,0,1,2,2,4,2,2,1,2,1
244687,4/18/2023,2051221,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Kapiyo A & B Village,1,,,0,0,0,0,,,,0,,,,1,,4,4,,2,3,0,0,
66149,03/06/2023,1050659,Migory County,Suna East Sub-County,Kakrao Ward,Lower Kakrao Sub-location,Tingna B Village,1,,,,,1,1,,,,2,,,,1,0,2,2,4,2,2,0,2,2
10868,3/17/2023,1020335,Migory County,Awendo Sub-County,North Sakwa Ward,Kwoyo Kodalo  Sub-location,Kauma Village (Kwoyo Kodalo Sub-location),1,,,,,0,0,,,,4,,,,0,0,4,3,6,3,3,0,4,0
